0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:54:02 +0900] "GET /Jsp02_MultiDelete/myinsert_res.jsp?writer=%EB%9E%8C%EC%9D%B4%EC%97%90%EC%9A%94&title=%EC%A0%80+%EC%9D%B4%EC%A0%9C+%EA%B2%8C%EC%8B%9C%ED%8C%90+&content=%EC%9E%98+%EB%A7%8C%EB%93%A4%EC%A3%A0%3F+ HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:54:03 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:13:58:30 +0900] "GET /Jsp02_MultiDelete/select.jsp?seq=3 HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:04:44 +0900] "GET /Jsp02_MultiDelete/myupdate.jsp?seq=3 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:17:27 +0900] "GET /Jsp02_MultiDelete/select.jsp?seq=3 HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:17:27 +0900] "GET /Jsp02_MultiDelete/select.jsp?seq=3 HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:17:27 +0900] "GET /Jsp02_MultiDelete/select.jsp?seq=3 HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:17:27 +0900] "GET /Jsp02_MultiDelete/select.jsp?seq=3 HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:17:27 +0900] "GET /Jsp02_MultiDelete/select.jsp?seq=3 HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:17:28 +0900] "GET /Jsp02_MultiDelete/myupdate.jsp?seq=3 HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:45 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:45 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:46 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:46 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:46 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:46 +0900] "GET /Jsp02_MultiDelete/select.jsp?seq=3 HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:47 +0900] "GET /Jsp02_MultiDelete/myupdate.jsp?seq=3 HTTP/1.1" 200 840
